author,orcid
Achim Oßwald,0000-0002-4803-2867
Achim Streit,0000-0002-5065-469X
Aerts Raf,0000-0003-4018-0790
Aerts Rien,0000-0001-6694-0669
Aguirre-Gutiérrez Jesús,0000-0001-9190-3229
Ahlborn Julian,0000-0002-4406-9654
Ahmad Sakor,0000-0001-8007-7021
Alan R. Denton,0000-0002-8710-6662
Alexander Feiner,0000-0001-6564-8826
Alexander Hoffmann,0000-0002-9647-8839
Alexander Kirchhoff,0000-0002-8796-1829
Alexander Krause,0000-0002-9771-8101
Alexander Löser,0000-0002-4440-3261
Alexander V. Petrunin,0000-0002-9140-7222
Almut Gassmann,0000-0001-6828-1898
Amaral Aryanne G,0000-0002-1441-1631
Ameli Kirse,0000-0002-7118-9328
Amit Jamadagni,0000-0001-7631-1065
Andrea Cimmino,0000-0002-1823-4484
Andrea Porzel,0000-0002-8148-6895
Andrea Scotti,0000-0002-8988-330X
Andreas Henrich,0000-0002-5074-3254
Andreas Jupke,0000-0001-6551-5695
Andreas Lütjen,0000-0001-5839-0177
Andreas Marx,0000-0002-6471-3689
Andreas Weber,0000-0002-3285-7653
Andrej Berg,0000-0002-5232-1995
Anica Kurzbach,0000-0003-1531-3088
Anna Beer,0000-0002-3447-0575
Anna Lisa Schwartz,0000-0003-0391-3879
Anne C. Nickel,0000-0002-4803-1987
Annegret Laub,0000-0001-6633-3439
Anne Lauber-Rönsberg,0000-0003-1340- 4330
Anno Löcher,0000-0003-4831-6218
Antonio Jesus Diaz-Honrubia,0000-0001-5464-0714
Arianne Schnabel,0000-0002-2172-2905
Arnaud Fabien,0000-0002-8706-9902
Arunkumar Anbu Aravazhi,0000-0001-9411-7565
Ashique Vellalassery,0000-0002-8587-6153
Astrid Veß,0000-0001-5603-0653
Auge Harald,0000-0001-7432-8453
Axel Loewe,0000-0002-2487-4744
Bader Nicholas E,0000-0002-8092-5163
Baidya Roy Somnath,0000-0002-7677-4972
Bajard Manon,0000-0003-4622-0482
Bastian Drees,0000-0003-3508-602X
Bastian Schneider,0000-0002-4504-5654
Basu Nandita B,0000-0002-8867-8523
Batjes Niels H,0000-0003-2367-3067
Benedikt Athmer,0000-0002-0234-4398
Benjamin Grimm-Lebsanft,0000-0002-4070-3531
Berg Matty P,0000-0001-8442-8503
Bernhard Westermann,0000-0002-6228-5991
Bokhorst Stef,0000-0003-0184-1162
Bonk Alicja,0000-0001-9863-9408
Boris Strelnikov,0000-0001-7323-0366
Böttcher Michael Ernst,0000-0002-8877-0303
Bugmann Harald,0000-0003-4233-0094
Byrnes Danyka K,0000-0002-5607-0687
Cailleret Maxime,0000-0001-6561-1943
Caruso Tancredi,0000-0002-3607-9609
Catharina Latka,0000-0001-8309-5479
Christa Kuehn,0000-0002-0216-424X
Christian Koch,0000-0002-0695-5110
Christian Kraus,0009-0007-6782-5495
Christine Peter,0000-0002-1471-5440
Christoph Jacobi,0000-0002-7878-0110
Christoph Thiele,0000-0001-5161-2558
Claudia Blankenburg,0000-0002-7955-8378
Claudia Engelhardt,0000-0002-3391-7638
Claudia Piesche,0000-0001-7758-919X
Crouzet Christian,0000-0002-4138-5213
Dana Vosberg,0000-0002-0938-0340
Daniel Capek,0000-0001-5199-9940
Daniel Čapek,0000-0001-5199-9940
Daniel Doña,0000-0002-5603-6390
David C. Fritts,0000-0002-6402-105X
David Chaves-Fraga,0000-0003-3236-2789
David Fernand,0000-0003-2512-2445
David Riewe,0000-0002-9095-5518
De Deyn Gerlinde B,0000-0003-4823-6912
Denise Thorsen,0000-0002-5358-9846
Develle Anne-Lise,0000-0003-2824-4106
Devin Huyghebaert,0000-0002-4257-4235 
Dieter Sicker,0000-0003-3949-782X
Dietmar Straile,0000-0002-7441-8552
Ding Su,0000-0001-6213-3982
Dippold Michaela Anna,0000-0002-3657-4693
Dirk Burkhardt,0000-0002-6507-7899
Dominik Martin-Creuzburg,0000-0002-4248-0730
Dorothea Iglezakis,0000-0002-8524-0569
Dörte Wittenburg,0000-0002-3639-2574
Edith Liliana Macotela ,0000-0003-3076-1946
Edna Ruckhaus,0000-0002-7735-2739
Egli Markus,0000-0002-1528-3440
Elke Smith,0000-0003-2836-0924
Emetis Niazmand,0000-0001-8194-8079
Emma Bawden,0000-0002-4772-7675
Enrique Iglesias,0000-0002-8734-3123
Enters Dirk,0000-0002-0484-541X
Eric Müller,0000-0002-6802-1241
Erik Bitzek,0000-0001-7430-3694
Etienne David,0000-0001-6388-7241
Eva Bonn,0000-0001-7342-1672
Fabio Vargas,0000-0002-2355-8053
Facundo L. Poblet,0000-0003-2946-9120
Fang Hongliang,0000-0002-6345-1197
Faucherre Samuel,0000-0002-2464-4260
Fazlul I.Laskar,0000-0001-7418-3581
Federico Conte,0000-0002-9247-702X
Ferdinand Schmidt-Kaler,0000-0002-5697-2568
Fernando Cotinguiba,0000-0002-7006-0768
Ficetola Francesco,0000-0003-3414-5155
Fiedler Sabine,0000-0001-9696-9630
Fischer Peter,0000-0002-8410-5824
Fitzsimmons Kathryn E,0000-0002-9337-0793
Fornoff Felix,0000-0003-0446-7153
Frank K. Wacker,0000-0002-6285-8403
Frank Scholze,0000-0003-3404-1452
Franz-Josef Lübken,0000-0003-0738-2593
Franz-Josef Luebken,0000-0003-0738-2593
Freddy Priyatna,0000-0002-9292-4010
Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),
Fyfe Ralph M,0000-0002-5676-008X
Gábor Kismihók,0000-0003-3758-5455
Georg Thaller,0000-0002-6782-2039
Gerald Schneider,0000-0002-0091-6217
Gerd Baumgarten,0000-0002-6727-284X
Gerd Hause,0000-0003-0242-3923
Ghosh Priyanka,0000-0002-8527-9404
Giguet-Covex Charline,0000-0002-5141-4815
Giorgi Federico M,0000-0002-7325-9908
Gleixner Gerd,0000-0002-4616-0953
Gorbushina Anna A,0000-0001-7685-7797
Goryachkin Sergey V,0000-0002-3489-6584
Gottfried Vossen,0000-0002-1478-2838
Greinwald Konrad,0000-0003-1103-2529
Grigory Arutyunov,0000-0002-4372-9155
Gudrun Oevel,0000-0002-6396-9535
Guidi Lucia,0000-0002-2472-720X
Guozhu Li,0000-0002-7669-3590
Gwennaëlle Mulliez,0000-0001-7601-1820
Habekost Maike,0000-0002-5781-238X
Hagen Stellmach,0000-0002-7206-974X
Hambach Ulrich,0000-0001-8455-6812
Hannes Thiemann,0000-0002-2329-8511
Hans-Jürgen Goebelbecker,0000-0003-4512-0367
Hans Laser,0000-0002-0958-8600
Harald Hammon,0000-0001-8698-1257
Harald Kusch,0000-0002-9895-2469
Harikrishnan Asokan,0000-0002-3628-5568
Harikrishnan Charuvil Asokan,0000-0002-3628-5568
Heike Neuroth,0000-0002-3637-3154
Heiko B. Weber,0000-0002-6403-9022
Heiko B. Weber,0000-0002-6403-9022 
Heim Birgit,0000-0003-2614-9391
Heinz Pampel,0000-0003-3334-2771
Herman Morales-Navarrete,0000-0002-9578-2556
Hermann Rösch,0000-0002-6689-5367
Hernan Morales-Navarrete,0000-0002-9578-2556
Hinrich B. Winther,0000-0001-6283-8042
Hinrichs Kai-Uwe,0000-0002-0739-9291
Hugelius Gustaf,0000-0002-8096-1594
Hunt Allen,0000-0002-3074-4946
Iizumi Toshichika,0000-0002-0611-4637
Ikram Zangana,0000-0003-4998-8577
Ilka Haferkamp,0000-0002-7432-3190
Ina Schieferdecker,0000-0001-6298- 2327
Ines Drefs,0000-0003-4944-3059
Inga Blunk,0000-0003-4945-3302
Ingolf Steffan-Dewenter,0000-0003-1359-3944
Ivana Correa Ramos Leal,0000-0002-6917-9323
Jacob Jérémy,0000-0002-3921-9566
Jan B. Hinrichs,0000-0001-9306-8693
Jan Brase,0000-0002-8250-6253
Jan-Christoph Otto ,0000-0002-4552-3011
Jan H. Klemmer,0000-0002-6994-7206
Jan Klosa,0000-0001-9135-4442
Janna Neumann,0000-0002-0161-1888
Jan Peters,0000-0002-0195-5357
Jason Jeremia Hayer,0000-0003-4019-6178
Jason J. Hayer,0000-0003-4019-6178
Jeffrey M. Forbes,0000-0001-6937-0796
Jennifer D'Souza,0000-0003-1560-810X
Jennifer D’Souza,0000-0003-1560-810X
Jens Dierkes,0000-0002-0121-9261
Jensen Kai,0000-0002-0543-070X
Jens Söder,0000-0001-6869-545X
Jens Vogel-Claussen,0000-0001-5595-6948
Jerome Beetz,0000-0001-6568-8596
J. Federico Conte,0000-0002-9247-702X
Jhon Toledo,0000-0002-2924-7272
Jiaming Zhang,0000-0003-3471-328X
Jie Zhang,0000-0003-2599-5983
Jilun Meng,0000-0003-0665-7655
Joachim von Zanthier,0000-0001-7013-0888
Jochen Klar,0000-0002-5883-4273
Johannes Lehmeyer,0000-0003-2041-9987
Jonas Hedin,0000-0001-5338-1538
Jonas Recker,0000-0001-9562-3339
Jorge Chau,0000-0002-2364-8892
Jorge L. Chau,0000-0002-2364-8892
Jorge Luis Chau,0000-0002-2364-8892
Jörg Gumbel,0000-0002-4645-4601
Jörg Müller,0000-0002-1409-1586
Jöris Olaf,0000-0002-6360-5096
Joshua Heck,0000-0001-8895-1289
Jos van Wezel,0000-0003-0175-6216
Juan Federico Conte,0000-0002-9247-702X
Juan Miguel Urco,0000-0002-8894-3294
Judith E. Houston,0000-0001-5205-3620
Juha Vierinen,0000-0001-7651-708X
Juliana M. Jaen,0000-0003-0171-9036
Julia Steinhoff-Wagner,0000-0003-0180-9859
Jürgen Schmidt,0000-0003-2953-9686
Kai Leonhard,0000-0001-6231-6957
Kai Richard Kurt Jäger,0000-0002-9790-8378
Kaiser Knut,0000-0002-5080-6075
Kalaitzidis Chariton,0000-0001-5217-7164
Karla Späth,0000-0002-4680-7534
Kathrin Baumgarten,0000-0002-5455-1698
Kathrin Beck,0000-0002-6879-8632
Katrin Franke,0000-0003-3043-3571
Katrin Horn,0000-0001-5302-2367
Katrin Kamin,0000-0003-3719-9626
Kawa Nazemi,0000-0002-2907-2740
Kerstin Helbig,0000-0002-2775-6751
Kevin Becker,0000-0002-6490-4100 
Kevin Sawade,0000-0002-7735-1488
Kirsten Elger,0000-0001-5140-8602
Klaus Schughart,0000-0002-6824-7523
Klein Alexandra-Maria,0000-0003-2139-8575
Kokkonen Nicola A K,0000-0003-0197-2672
Kristin Mahlow,0000-0002-0625-965X
Kuss Patrick,0000-0002-0302-6658
Kuzyakov Yakov,0000-0002-9863-8461
Laine Anna Maria,0000-0003-2989-1591
Lamorski Krzysztof,0000-0001-9678-541X
Lange Markus,0000-0002-2802-9177
Lars Heinke,0000-0002-1439-9695
Lars Rudstam,0000-0002-3732-6368
Laura Rothfritz,0000-0001-7525-0635
Laux Patrick,0000-0002-8657-6152
Leah R. McEwen,0000-0003-2968-1674
Lehmkuhl Frank,0000-0002-6876-7377
Linda Freyberg,0000-0002-4620-7571
Lipp Julius S,0000-0002-4109-3317
Lisa Fruhner,0000-0003-0803-833X
Liu Weiwei,0000-0001-9057-4857
Lombardo Luigi,0000-0003-4348-7288
Longquan Jiang,0000-0002-7333-2589
Ludger A. Wessjohann,0000-0003-2060-8235
Ludger Wessjohann,0000-0003-2060-8235
Lukas Kaupp,0000-0001-9411-6781
Luong Justin C,0000-0003-2118-4788
Magnar G. Johnsen,0000-0002-2776-0750
Manfred Mayer,0000-0002-6382-2533
Manimekalan Arunachalam,0000-0002-6050-5233
Mani Sivakandan,0000-0002-1656-7963
Maoheng He,0000-0001-6112-2499
Maosheng He,0000-0001-6112-2499
Marco Gutfleisch,0000-0003-1400-5825
Maria Esther Vidal,0000-0003-1160-8727
Maria Esther Vidal,0000-0003-1160-8727 
Maria-Esther Vidal,0000-0003-1160-8727
Marie Houillon,0000-0002-6584-0233
Marius Zecha,0000-0002-9049-1186
Markus Putnings,0000-0002-6014-9048
Markus Rapp,0000-0003-1508-5900
Markus Stocker,0000-0001-5492-3212
Martin-Benito Dario,0000-0002-6738-3312
Masaki Tsutsumi,0000-0003-0113-8311
Matthias A. Popp,0000-0001-7620-1245
Matthias A. Popp,0000-0001-7620-1245 
Matthias Clahsen,0000-0002-0118-8223
Matthias H. Enders,0000-0002-8296-3008
Matthias Springstein,0000-0002-6509-8534
Matvey Safroshkin,0000-0003-3955-5081
Mauricio Brunet,0000-0001-9576-8845
Mauricio Brunet,0000-0003-1160-8727 
Maxi Kindling,0000-0002-0167-0466
Merino Carolina,0000-0003-4208-6159
Michael Gerding,0000-0002-5382-4017
Michael Heethoff,0000-0003-3453-4871
Michael Krieger,0000-0003-1480-9161
Michael Rübhausen,0000-0003-3868-392X
Michelle Lindlar,0000-0003-3709-5608 
Miguel Larsen,0000-0002-8678-8489
Mina Marco,0000-0002-7489-7688
Mitchell Fraser J G,0000-0002-9857-5632
Mohammad Mirzaei,0000-0003-0813-3994
Mónica Figuera,0000-0003-4417-7767
Monika Linne,0000-0003-3579-6005
Morteza Ghaffari,0000-0002-5811-3492
Musso Alessandra,0000-0001-6475-5208
Muys Bart,0000-0001-9421-527X
Mykhaylo Grygalashvyly,0000-0002-6702-3587
Nicholi Pitra,0000-0001-8642-5138
Nicola Below,0000-0003-3388-7958
Nicolas Huaman,0000-0003-2733-5073
Nicolaysen Kirsten P,0000-0002-3285-6263
Nicole A. Parks,0000-0002-6243-2840
Nicu Ionut Cristi,0000-0001-6451-341X
Nikan Toulany,0000-0003-3505-7325
Niklas Busch,0000-0001-5621-8461
Nolte Stefanie,0000-0002-8570-241X
Nora Dörrenbächer,0000-0002-6246-1051
Norbert Arnold,0000-0003-2925-2263
Norbert Reinsch,0000-0001-7435-4088
Norman Gentsch,0000-0003-1166-8973
Oelmann Yvonne,0000-0003-3513-6568
Oleksandra Kukharenko,0000-0002-3285-1403
Oscar Corcho,0000-0002-9260-0753
Paride Rizzo,0000-0003-3802-2005
Pascal Siegers,0000-0001-7899-6045
Patrick Müller,0000-0002-0702-6209
Patrick M. Weber,0000-0002-4075-9535
Pauline Stark,0000-0003-4368-0125
Paul Lukas,0000-0003-2756-0465
Pelita Octorina,0000-0001-7832-5938
Peng Shouzhang,0000-0002-2358-6329
Perić Zoran,0000-0003-0116-8895
Péter Király,0000-0002-8749-4597
Peter Wittenburg,0000-0003-3538-0106
Philipp D. Rohde,0000-0002-9835-4354
Pignol Cécile,0000-0003-4411-8898
Piotrowska Natalia,0000-0002-8194-6767
Pollmann Thomas,0000-0001-9099-1618
Poulenard Jérôme,0000-0003-0810-0308
Poulter Benjamin,0000-0002-9493-8600
Priyanka Ghosh,0000-0002-8527-9404
Prud'homme Charlotte,0000-0002-1417-033X
"Putnings, Markus",0000-0002-6014-9048
Puy Arnald,0000-0001-9469-2156
Raes Niels,0000-0002-4329-4892
Raffaele Marino,0000-0002-6433-7767
Raika Milde,0000-0003-0630-8105
Rakshitha Godahewa,0000-0002-1333-7249
Ralf Schweins,0000-0001-8078-2089
Ralph Ewerth,0000-0003-0918-6297
Ralph Latteck,0000-0002-0001-7473
Reddy Kangari Narender,0000-0003-1626-3860
Ricardo Perez-Alvarez,0000-0002-3468-6544
Ricardo Usbeck,0000-0002-0191-7211
Roberto Carlos Campos Martins,0000-0002-2325-7912
Robert Ulrich,0000-0001-9063-2703
Robin Jegan,0000-0002-0388-7220
Robinson Stephen D,0000-0003-2693-9238
Rzodkiewicz Monika,0000-0002-6672-2183
Sabatier Pierre,0000-0002-9620-1514
Saber Qanbari,0000-0001-6866-2332
Sabine K. Maschke,0000-0002-6597-010X
Samaneh Jozashoori,0000-0003-1702-8707
Sascha Fahl,0000-0002-5644-3316
Sascha Korn,0000-0003-3430-5163 
Scherer-Lorenzen Michael,0000-0001-9566-590X
Scheu Stefan,0000-0003-4350-9520
Schlütz Frank,0000-0003-2114-8146
Schoch Werner H,0000-0003-1364-0958
Schulte Philipp,0000-0001-8956-669X
Scotti Andrea,0000-0002-8988-330X
Sebastian Schmelzle,0000-0001-6707-6331
Sebastian Wolf,0000-0002-2679-9055
Seeber Julia,0000-0003-0189-7377
Sekercioglu Cagan H,0000-0003-3193-0377
Sibylle Hermann,0000-0001-9239-8789
Siewert Matthias Benjamin,0000-0003-2890-8873
Simone Fühles-Ubach,0000-0001-5985- 739X
Simon Hammann,0000-0002-4311-7351
Simon Hunkler,0000-0002-2476-2128
Slabbert Eleonore,0000-0001-8370-4051
Sonja Herres-Pawlis,0000-0002-4354-4353
Sören Auer,0000-0002-0698-2864
Sören Buchenau,0000-0001-6324-8386
Sparks Aaron M,0000-0003-1286-3770
Stefan Berger,0000-0002-8128-9613
Stefan Richter,0000-0002-2681-039X
Steffen Bochenek,0000-0001-5841-2815
Steffen Neumann,0000-0002-7899-7192
Steinwandter Michael,0000-0001-8545-6047
Stephan Grunewald,0000-0003-1841-8651
Stephan Kindermann,0000-0001-9335-1093
Stock Svenja C,0000-0002-1425-5587
Sun Tao,0000-0001-6266-3350
Susanne Matschi,0000-0001-6233-2519
Susanne Reichert,https://orcid.org/0000-0002-1694-0481
Svetlana Gerbel,0000-0003-3430-5294
Taillie Paul,0000-0001-7172-3589
Tanja Friedrich,0000-0003-1557-3728
Tarique Adnan Siddiqui,0000-0001-9394-6708
Thomas Paul Spaniol,0000-0001-9761-1366
Thomas Vogt,0000-0001-6155-3360
Thorben Petersen,0000-0003-2052-0567
Tillmann G. Fischer,0000-0003-4480-8661
Timon Citak,0009-0008-3231-5476
Tim Vetter,0000-0003-1139-8328
Tobias Gradl,0000-0002-1392-2464
Tomàs S. Plivelic,0000-0003-0193-3251
Tomas Stary,0000-0001-9614-6263
Toni Ditfe,0000-0001-6360-6673
Toralf Renkwitz,0000-0002-0739-2655
Tosetti Roberta,0000-0002-7173-7224
Trainotti Livio,0000-0002-8829-8205
Traud Winkelmann,0000-0002-2509-1418
Truckenbrodt Sina C,0000-0002-6016-3747
Tuittila Eeva-Stiina,0000-0001-8861-3167
Tylmann Wojciech,0000-0003-1749-5882
"Urco, Juan Miguel",0000-0002-8894-3294
van Bodegom PM,0000-0003-0771-4500
Van Meter Kimberly J,0000-0002-3698-7850
Varma Gudimetla Venkateswara,0009-0008-0059-0529
Vasander Harri,0000-0001-7705-9455
Vasil'chuk Jessica Yurevna,0000-0002-4855-8316
Vasil'chuk Yurij K,0000-0001-5847-5568
Victor Avsarkisov,0000-0001-5747-2525
Vincent F. Scalfani,0000-0002-7363-531X
Vinnepand Mathias,0000-0001-7377-4021
Vivien Matthias,0000-0003-1806-4507
Vivien Petras,0000-0002-8113-1509
Vött Andreas,0000-0001-7001-6225
Walter Bruno M T,0000-0002-4196-9315
Walter Richtering,0000-0003-4592-8171
Walz Josefine,0000-0002-0715-8738
Wayne K. Hocking,0000-0003-0111-8804
Wei Shanshan,0000-0002-2831-3864
Wells Jon M,0000-0001-5037-8798
Welti Ruth,0000-0003-4373-2538
Wietje Nolte,0000-0001-7987-9780
Wilcke Wolfgang,0000-0002-6031-4613
Wolfgang Brandt,0000-0002-0825-1491
Woodbridge Jessie,0000-0003-0756-3538
Yasemin Acar,0000-0001-6034-5498
Yinghui Zhang,0000-0001-6980-2384
Yoshimasa Tanaka,0000-0001-7276-4868
Yosuke Yamazaki,0000-0002-7624-4752
Zeeden Christian,0000-0002-8617-0443
Zeng Huiping,0000-0002-8665-4974
Žiga Ogorelec,0000-0001-7635-0128
