organization,dataset_id
coypu-project,09ed4d5d-7fcd-4ce3-9ba5-8cf42d57ee2c
coypu-project,21b43f26-5753-4c78-a45a-1b6b4bf2d44b
coypu-project,28384b4c-ee8a-4d38-886a-baee369430d9
coypu-project,289a72e9-58be-47c1-bbdd-2bf04141c303
coypu-project,3701bbed-8683-4ed6-a4e9-1e23b4c6c542
coypu-project,3ed950c4-eab3-434a-aec4-ed0d2b9c7e31
coypu-project,40375219-aae0-49ac-9ce0-1617d8a3c240
coypu-project,4500197b-2fbe-47ee-a24c-73726f0b1815
coypu-project,492dc42e-df6c-4cba-bb4c-5562689627e6
coypu-project,4a5b1066-7eef-4963-999e-5d8bbdb561e0
coypu-project,4ce41b70-6175-428e-b7a4-8c52d6ceda60
coypu-project,4d03c927-1877-4459-95a2-4a248e502765
coypu-project,4e1596b9-90da-4011-bfeb-51e52c5d27b0
coypu-project,4f50fe06-9047-4a92-a953-2ccb04af9bcf
coypu-project,59d595ab-6c09-455c-b0a7-e24ba1ac94d9
coypu-project,608c3c65-fe2d-477d-8fd5-1ec248ae3e5d
coypu-project,6509e4fb-6b00-47f4-a2c0-35e8b69f36fb
coypu-project,6f0ba6de-7b20-4823-81ff-e35579e1079c
coypu-project,78c83ea8-0167-4661-b140-ec23e39735e9
coypu-project,7cd16f2d-9570-44c6-888a-5d1f43043c67
coypu-project,81526280-9dab-44c6-9047-44256fef9ac1
coypu-project,839f677d-4e97-4f7d-aea1-cb35947368e2
coypu-project,86332a2c-6983-4369-90f6-0f503f9544ea
coypu-project,9a543389-6c85-4c50-98ec-d199073baf70
coypu-project,9ae03d7b-f02d-4df2-bde6-49728e834027
coypu-project,a1ae9d8b-eb58-4611-9d4b-59d147299531
coypu-project,a40e0cc1-d314-4dcc-9fe2-ac68ff336b7e
coypu-project,aaa875cf-d07f-4034-abae-09ba88eca93c
coypu-project,b5d19739-bdd3-412b-96cd-4158235b8f09
coypu-project,ba139a6a-9cf3-46d5-8a25-b338f90bd1bc
coypu-project,ba1ddb9d-631f-463d-a12d-a3762cbee893
coypu-project,ce115b9d-870f-436b-a8f7-386a6c65834f
coypu-project,ce733a0e-950e-42ac-80f1-bc0ffeae74b9
coypu-project,d2e5af1b-4a74-4bba-8199-e6d138e37243
coypu-project,d6768440-7bc5-457a-99f0-d0f82ee409cd
coypu-project,df5b7113-d32b-40bd-98ed-2ed55843b250
coypu-project,e48e0a1a-1771-4832-a83c-b88a5d29b2a4
coypu-project,e6e37d74-7cfc-458e-ac29-ed153b414354
coypu-project,e8a0620f-63a3-433c-8a85-c1c085159ea2
coypu-project,ebd8488f-a92b-46c9-899c-1e0b7f4f01e1
coypu-project,f00cdc84-5be1-4d2d-b00c-d8a957d78a0b
coypu-project,f43c99b5-4b4b-4df0-8e11-f8e5c75ed1ec
coypu-project,f59619c4-ee95-4102-8bc1-8583a82460d4
coypu-project,f9a12656-d803-4ef9-848a-784ec3c7d20d
coypu-project,fe742c08-cebc-489a-b205-e7f4a6487829
fachgebiet-empirical-information-security,2ddc1f8f-bb4a-4c9e-ad4f-af551a6ecf54
fachgebiet-empirical-information-security,a56af398-d46c-4883-af24-4dc4e6b1246f
fachgebiet-empirical-information-security,ceeaf408-ffbf-4f01-8c05-8395dd687c3d
fachgebiet-empirical-information-security,d2186c38-ac7f-45fb-9c38-2e9f36d3afaf
fachgebiet-empirical-information-security,e0894e61-8e22-4832-aa92-555f007282bc
fachgebiet-wissensbasierte-systeme,8d579fcc-06e8-4ca3-bb99-4f11e77fdef2
fachgebiet-wissensbasierte-systeme,f1460cfd-866d-42ad-8383-36d5c3f22201
institut-fur-gartenbauliche-produktionssysteme,064ee904-5345-43da-b6d2-7b771a928a2b
institut-fur-gartenbauliche-produktionssysteme,256b30ce-d645-4997-a7a0-8aa0ce91daec
institut-fur-gartenbauliche-produktionssysteme,e4afd5c8-6ed3-4ee8-9146-39b929608963
institut-fur-theoretische-physik,a28770ef-17da-456c-886c-1e2f11985e17
l3s,1cac4023-cce8-4205-8b71-75e79094dded
l3s,5f2180c2-be1d-45c3-a3c3-831f400b2f81
l3s,a42fe0cb-88fb-4c85-91db-92197cf096e1
mhh,b4a4a12f-35f5-4ed4-98d9-efdcb507c7c1
pangaea,007a8766-4921-4ff0-b3aa-404c0b598e03
pangaea,00b068a4-1546-4bf3-ab8a-f56c9f3bd8f2
pangaea,01a122f7-8b73-493a-8f1e-6a6cfdb885fd
pangaea,02b30ac7-c14e-413b-88f0-91048a6219fa
pangaea,067103ae-3990-4d9c-bf33-6e2f46c4055d
pangaea,06a2f674-9c3e-4f19-aea8-548c73f1c6c9
pangaea,073e1086-d3fb-4c2c-bbfe-5eda1f5bcc8b
pangaea,0798ca41-3369-4e33-9863-8fbd4351c7d0
pangaea,0969f4ea-3021-4377-b27f-30b13723e4e3
pangaea,0a6df4ad-d4be-4cbb-a2db-9b469c9af87f
pangaea,0c397b7e-a2d0-42df-9764-2ffb6a6b0422
pangaea,10b6a1bf-640b-47aa-b12c-854b0c598bdd
pangaea,11544f02-05ea-4150-8312-fb4ca8fe859b
pangaea,13c23bc0-ae5e-4e1c-aa49-a8ab2feb92c5
pangaea,14288f84-0533-4b07-b4d1-bf90181bac6a
pangaea,15c8b22c-f3d1-4918-8024-b64550a738cb
pangaea,15d21b0a-70ef-4cfb-9a0f-a91c1a03a8c4
pangaea,1b52786e-fd5a-4911-b22b-b491293956ba
pangaea,1c2557a8-f152-46d0-a6a2-b6edaa3b0482
pangaea,21fb644f-36c2-44af-81ca-381dd0a36f9d
pangaea,24ff2bfc-384c-41f9-86ee-0b7919d38b87
pangaea,271c44f4-0a09-4761-a5d4-769a1536e3aa
pangaea,27592af1-c084-42a0-919d-3898ac83e66e
pangaea,27b8ea9c-13c9-4aa8-a4e1-13cfdb9f14a8
pangaea,2d97d909-7d41-4024-b2a4-e8893d7c1f24
pangaea,2e274ab8-7422-4c17-8ceb-823531781b1b
pangaea,306b75c2-e850-4c0a-bd2d-b735f5686b51
pangaea,32c25df1-49cb-4c5d-9a6b-b199e31340b1
pangaea,32e2736d-a903-44a2-8a3c-658fd4b4fee4
pangaea,330edff2-1d63-46c0-b12e-86b67a8528d7
pangaea,33161006-051a-46b2-9965-3775ceff8b5b
pangaea,390c16a7-8d8c-4c7c-9d0e-015c362d0c34
pangaea,3c26ff86-b869-4b86-952e-9e5b2771db81
pangaea,3ce1c31d-5f32-41d8-959d-2eb06806da58
pangaea,3dd16f90-86a1-408f-8e60-3fbad9138018
pangaea,3df855f2-6bee-45be-85cb-c92408ac16d0
pangaea,3e14711e-4f9e-41e6-b45d-063ef8e1af5c
