id,name,organization,title,doi,metadata_created,metadata_modified,license_title
ebd8488f-a92b-46c9-899c-1e0b7f4f01e1,acled,coypu-project,ACLED,10.57702/f6a0n37q,2023-08-10T19:55:16.480321,2024-01-16T15:15:13.694924,License not specified
4a5b1066-7eef-4963-999e-5d8bbdb561e0,airports-dataset,coypu-project,Airports Dataset,10.57702/7367ku93,2023-08-10T20:02:33.473236,2023-08-10T22:25:53.925663,License not specified
ba139a6a-9cf3-46d5-8a25-b338f90bd1bc,baci-dataset,coypu-project,BACI Dataset,10.57702/gammgkb7,2023-08-10T20:06:02.246408,2023-08-10T22:25:06.367520,License not specified
e6e37d74-7cfc-458e-ac29-ed153b414354,catalog-dataset,coypu-project,Catalog Dataset,10.57702/2iev6x8r,2023-08-10T20:09:34.894731,2023-08-10T22:25:32.465010,License not specified
28384b4c-ee8a-4d38-886a-baee369430d9,cities-dataset,coypu-project,Cities Dataset,10.57702/o4gpzj30,2023-08-10T20:12:29.369668,2023-08-10T22:24:54.018704,License not specified
f59619c4-ee95-4102-8bc1-8583a82460d4,climate-trace-dataset,coypu-project,Climate Trace Dataset,10.57702/8kh82uha,2023-08-10T20:16:33.413638,2023-08-10T22:24:42.919980,License not specified
a28770ef-17da-456c-886c-1e2f11985e17,code-error-correction-properties-of-an-topological-insulator,institut-fur-theoretische-physik,Code: Error-correction properties of an topological insulator,,2021-07-23T10:18:26.020147,2021-07-23T10:19:34.751108,Creative Commons Attribution
fe742c08-cebc-489a-b205-e7f4a6487829,commodities-dataset,coypu-project,Commodities Dataset,10.57702/68vs5q6o,2023-08-10T20:19:41.724901,2023-08-10T22:24:29.226728,License not specified
6509e4fb-6b00-47f4-a2c0-35e8b69f36fb,companies-dataset,coypu-project,Companies Dataset,10.57702/u4ilysnn,2023-08-10T20:21:48.998148,2023-08-10T22:24:17.525239,License not specified
289a72e9-58be-47c1-bbdd-2bf04141c303,corruption-dataset,coypu-project,Corruption Dataset,10.57702/6luvpae3,2023-08-10T20:24:25.169222,2023-08-10T22:24:04.638157,License not specified
492dc42e-df6c-4cba-bb4c-5562689627e6,countries-dataset,coypu-project,Countries Dataset,10.57702/9cslc81d,2023-08-10T20:26:19.002147,2023-08-10T22:23:53.802827,License not specified
f1460cfd-866d-42ad-8383-36d5c3f22201,countries-test,fachgebiet-wissensbasierte-systeme,Countries Test,10.57702/lcp6xrm9,2023-11-09T15:25:05.932364,2023-11-10T20:27:11.604512,License not specified
a40e0cc1-d314-4dcc-9fe2-ac68ff336b7e,country-statistics-dataset,coypu-project,Country Statistics Dataset,10.57702/5s0qj3ja,2023-08-10T20:29:14.395191,2023-08-10T22:23:41.234202,License not specified
b4a4a12f-35f5-4ed4-98d9-efdcb507c7c1,covid-19-image-repository,mhh,COVID-19 Image Repository,,2021-07-23T10:23:30.647334,2021-07-23T10:25:32.966202,Creative Commons Attribution
b5d19739-bdd3-412b-96cd-4158235b8f09,coypu-project-knowledge-graph,coypu-project,CoyPu Project Knowledge Graph,10.57702/2xl01lm1,2023-08-07T16:34:03.917793,2023-08-10T22:26:16.860960,License not specified
4e1596b9-90da-4011-bfeb-51e52c5d27b0,dalicc-dataset,coypu-project,DALICC Dataset,10.57702/ew5yufsx,2023-08-10T20:31:05.873015,2023-08-10T22:23:29.132262,License not specified
02a90a88-19c9-4542-9410-6741782427bf,dataset-for-service-example,tib,Dataset for Service Example,10.57702/ga9wy6p8,2023-06-26T06:01:40.477622,2023-06-26T06:03:01.067999,License not specified
a1ae9d8b-eb58-4611-9d4b-59d147299531,disaster-dataset,coypu-project,Disaster Dataset,10.57702/fa8c6kq1,2023-08-10T20:33:42.391168,2023-08-10T22:23:14.054473,License not specified
e8a0620f-63a3-433c-8a85-c1c085159ea2,em-dat-dataset,coypu-project,EM-DAT Dataset,10.57702/3d1i5yem,2023-08-10T20:36:15.855746,2023-08-10T22:23:01.008174,License not specified
ca8c20ad-77b6-46d7-a940-1f6a351d7d0b,example-cad-2,tib,Pangaea CAD files,,2017-11-24T13:36:15.887852,2021-03-03T10:14:21.513141,Creative Commons Attribution
c31c9ff2-0ea9-43d8-8f93-2af0eaade9d4,example-cad-visualizations,tib,Example CAD Visualizations,10.57702/y89qq7yc,2022-05-10T06:06:18.809145,2022-05-10T06:11:58.326588,Creative Commons Attribution
abe34d5b-89dc-45a6-ace3-edef03a98e25,example-data-formats-visualizations,tib,Example Data Formats Visualizations,10.57702/053t7crn,2022-06-13T06:41:25.981748,2022-06-13T06:47:00.239049,License not specified
416b1441-cac9-4f9a-bb30-db1fb160ea65,example-documents-visualizations,tib,Example Documents Visualizations,10.57702/sk4pw5q8,2022-06-13T06:32:24.216226,2022-06-13T06:39:24.560824,License not specified
c854c0a8-9a35-40b8-8698-115d3ec29a26,example-ldm-api-implementation,tib,Example LDM-API implementation,10.57702/0m50j2xo,2023-01-12T10:37:55.407492,2023-01-12T11:27:52.437290,License not specified
54920aae-f322-4fca-bd09-cd091946632c,example-video-2,tib,Autocombustion reactions STF50 video,,2017-11-24T13:42:19.407543,2021-03-03T10:15:41.845072,Creative Commons Attribution
30bb224e-7474-4495-bd8e-96c7d3f1b22e,example-video-visualizations,tib,Example Video Visualizations,10.57702/hbbmkjx4,2022-06-13T06:25:38.846167,2022-06-13T06:29:36.923184,Creative Commons Attribution
d2e5af1b-4a74-4bba-8199-e6d138e37243,exiobase-dataset,coypu-project,Exiobase Dataset,10.57702/ipokonoh,2023-08-10T20:38:31.526401,2023-08-10T22:22:47.841634,License not specified
f45c42a7-50d2-46e1-a247-e40db3255d50,falcon-demo,tib,Falcon Demo,,2022-01-31T15:37:16.684571,2022-02-24T09:11:39.255308,License not specified
4d03c927-1877-4459-95a2-4a248e502765,gdacs-dataset,coypu-project,GDACS Dataset,10.57702/844faumg,2023-08-10T20:41:33.379837,2023-08-10T22:22:35.756475,License not specified
6f0ba6de-7b20-4823-81ff-e35579e1079c,genesis-dataset,coypu-project,Genesis Dataset,10.57702/b704g97b,2023-08-10T20:43:10.569591,2023-08-10T22:22:18.724302,License not specified
6a85aa5b-29a6-458d-9f6f-58493f800e49,gentsch-2023-1,tib,gentsch-2023-1,10.57702/yztrbsd4,2023-12-04T14:36:26.849091,2023-12-20T14:30:33.838831,Creative Commons CCZero
f43c99b5-4b4b-4df0-8e11-f8e5c75ed1ec,geoboundaries-datasets,coypu-project,Geoboundaries Datasets,10.57702/myq66n0a,2023-08-10T20:45:13.981549,2023-08-10T22:22:05.969100,License not specified
7cd16f2d-9570-44c6-888a-5d1f43043c67,gleif-dataset,coypu-project,GLEIF Dataset,10.57702/kfuxpknz,2023-08-10T20:47:06.415139,2023-08-10T22:21:54.377645,License not specified
0b3caa48-54aa-4cfa-a687-092aacbd5164,grid-planning-program-gpp-data-sets,institut-fur-elektrische-energiesysteme,Grid Planning Program (GPP) Data Sets,,2021-07-23T08:22:12.405280,2021-07-23T08:24:32.934370,Creative Commons Attribution
9ae03d7b-f02d-4df2-bde6-49728e834027,gta-dataset,coypu-project,GTA Dataset,10.57702/vos2p0zy,2023-08-10T20:49:03.832131,2023-08-10T22:21:38.711637,License not specified
485d29c2-fe3c-4dff-8ee4-009e8d2aa7ae,gtfs-madrid-bench,universidad-politecnica-de-madrid,GTFS-Madrid-Bench,10.57702/ldr8qrii,2023-10-17T09:55:40.934271,2023-10-17T10:08:59.369754,License not specified
4f50fe06-9047-4a92-a953-2ccb04af9bcf,icews-dataset,coypu-project,ICEWS Dataset,10.57702/2fz2y48u,2023-08-10T20:52:01.012760,2023-08-10T22:21:27.172035,License not specified
9a543389-6c85-4c50-98ec-d199073baf70,industries-dataset,coypu-project,Industries Dataset,10.57702/52h2udb5,2023-08-10T20:54:18.537689,2023-08-10T22:21:17.319858,License not specified
d6768440-7bc5-457a-99f0-d0f82ee409cd,international-organizations-dataset,coypu-project,International Organizations Dataset,10.57702/7g62nj72,2023-08-10T20:56:19.854385,2023-08-10T22:20:07.729283,License not specified
df5b7113-d32b-40bd-98ed-2ed55843b250,ips-dataset,coypu-project,IPS Dataset,10.57702/eqvz07u4,2023-08-10T20:57:50.393894,2023-08-10T22:19:52.413058,License not specified
c22ad20e-d0e3-4be2-8041-ba71bfa29873,k4covid19,tib,K4COVID19,10.57702/uolebhov,2021-07-23T05:49:13.923502,2022-06-08T15:22:09.581797,Creative Commons Attribution
